FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Class
56,5612,0,2,0,0,1,0
89,4076,1,2,0,1,1,1
27,7843,2,1,0,1,1,1
43,6202,2,0,2,1,1,1
70,6461,2,0,0,1,1,1
16,4685,2,2,3,1,1,1
41,4267,2,0,2,1,1,0
97,6884,0,1,4,0,0,0
10,7426,2,1,3,1,1,1
73,6843,2,2,4,1,0,0
12,6444,1,1,3,0,0,0
48,8393,2,2,0,1,1,1
86,4016,1,1,1,0,1,1
29,3474,0,1,0,1,1,0
94,3492,3,2,2,1,0,1
6,6092,2,1,0,1,0,0
67,6943,3,1,4,1,1,1
66,4585,3,2,0,0,0,0
36,3189,2,1,0,1,1,1
17,3769,0,1,2,1,1,1
50,3600,2,0,3,0,1,1
35,4806,0,1,0,0,1,1
8,3466,1,2,2,1,1,1
96,5062,0,1,0,0,0,0
28,5904,2,0,3,1,1,1
20,5433,2,1,0,1,0,1
82,6342,0,2,1,0,0,1
26,7117,3,1,4,0,1,1
63,3034,1,0,0,1,1,1
14,5919,1,2,0,1,0,1
25,6385,1,0,2,1,0,0
4,8191,3,0,2,0,1,1
18,5391,1,0,0,0,0,0
39,7658,2,2,2,0,1,0
9,8334,3,0,2,1,1,1
79,4981,2,2,1,0,1,1
7,8734,2,1,2,1,0,0
65,4955,1,2,4,0,1,0
37,5734,2,1,3,0,0,0
90,7887,0,2,2,1,0,1
57,4363,3,2,3,1,1,1
100,8463,0,0,0,0,1,0
55,5824,0,2,0,0,0,0
44,6556,1,2,1,1,1,1
51,5363,2,1,4,1,1,1
68,6073,0,1,2,0,1,1
47,5888,2,1,3,0,1,1
69,4021,1,2,3,0,1,1
62,7014,2,0,3,1,0,0
98,3064,2,0,3,1,0,0
80,3995,2,1,2,0,0,1
42,4528,0,0,2,0,0,1
59,4478,2,2,4,1,1,1
49,5435,0,0,4,1,0,0
99,5568,3,1,1,0,1,0
58,8486,1,1,3,1,1,0
76,8675,3,2,1,0,0,0
33,5747,3,0,3,1,1,1
95,8276,3,0,1,0,1,1
60,5556,2,0,4,0,0,0
64,6152,3,0,4,1,1,1
85,4275,0,2,1,1,0,1
38,6005,1,1,2,1,0,0
30,4082,3,0,3,1,1,1
2,8390,3,1,4,0,0,1
53,3241,2,0,3,1,1,1
22,8051,3,0,1,0,1,0
3,8226,3,2,4,1,0,1
24,7555,0,2,1,0,1,1
88,3878,1,0,0,1,0,0
92,7859,3,0,1,1,1,1
75,7798,1,0,2,1,0,0
87,3337,0,1,0,0,0,0
83,7551,3,0,2,0,1,1
21,8311,1,2,4,0,1,0
61,3775,3,1,2,1,1,0
72,8225,1,2,4,0,1,0
15,3130,0,0,3,1,0,0
93,3379,3,2,1,0,0,0
52,5061,1,0,2,1,0,1
